BOROUGH,BLOCK,LOT,POSTCODE,LATITUDE,LONGITUDE
Staten Island,3380,4,10305,40.584472,-74.089739
Staten Island,1229,38,10303,40.631867,-74.158111
Staten Island,435,15,10314,40.617512,-74.134329
Staten Island,934,17,10306,40.579878,-74.114112
Staten Island,329,30,10314,40.615134,-74.114727
Staten Island,241,20,10301,40.618871,-74.104125
Staten Island,6975,135,10309,40.524683,-74.210457
Staten Island,5315,64,10312,40.536072,-74.148466
Staten Island,8024,82,10307,40.513078,-74.24506
Staten Island,5437,6,10308,40.552682,-74.151979
Staten Island,5236,31,10312,40.542105,-74.163076
Staten Island,5236,31,10312,40.542105,-74.163076
Staten Island,5236,31,10312,40.542105,-74.163076
Staten Island,5236,31,10312,40.542105,-74.163076
Staten Island,5236,31,10312,40.542105,-74.163076
Staten Island,5236,31,10312,40.542105,-74.163076
Staten Island,5309,33,10308,40.537074,-74.143993
Staten Island,6499,25,10312,40.527427,-74.180336
Staten Island,7886,72,10307,40.503044,-74.241974
Staten Island,714,15,10314,40.607667,-74.12106
Staten Island,714,15,10314,40.607667,-74.12106
Staten Island,1544,1,10314,40.613119,-74.15864
Staten Island,1544,1,10314,40.613119,-74.15864
Staten Island,1544,1,10314,40.613119,-74.15864
Staten Island,1544,1,10314,40.613119,-74.15864
Staten Island,1544,1,10314,40.613119,-74.15864
Staten Island,1544,1,10314,40.613119,-74.15864
Staten Island,1544,1,10314,40.613119,-74.15864
Staten Island,1544,1,10314,40.613119,-74.15864
Staten Island,1544,1,10314,40.613119,-74.15864
Staten Island,4007,137,10306,40.560494,-74.113877
Staten Island,3191,108,10304,40.597657,-74.090718
Staten Island,882,46,10301,40.602585,-74.113938
Staten Island,767,10,10314,40.604818,-74.128945
Staten Island,6257,1,10312,40.541734,-74.178147
Staten Island,6257,1,10312,40.541734,-74.178147
Staten Island,1576,38,10314,40.612889,-74.166296
Staten Island,2445,5,10314,40.575761,-74.163281
Staten Island,373,23,10314,40.612805,-74.126558
Staten Island,5441,28,10308,40.553841,-74.153716
Staten Island,613,134,10304,40.627376,-74.086291
Staten Island,2380,500,10314,40.587838,-74.16564
Staten Island,2380,500,10314,40.587838,-74.16564
Staten Island,2380,500,10314,40.587838,-74.16564
Staten Island,2380,500,10314,40.587838,-74.16564
Staten Island,2380,500,10314,40.587838,-74.16564
Staten Island,5526,45,10312,40.555013,-74.167419
Staten Island,5720,1,10312,40.560521,-74.182617
Staten Island,2827,89,10305,40.616402,-74.065624
Staten Island,2827,89,10305,40.616421,-74.06558
Staten Island,2827,89,10305,40.616438,-74.065541
Staten Island,2827,89,10305,40.616454,-74.065501
Staten Island,2827,89,10305,40.616471,-74.065462
Staten Island,2827,89,10305,40.61649,-74.065422
Staten Island,2400,15,10314,40.587118,-74.168259
Staten Island,2400,15,10314,40.587118,-74.168259
Staten Island,2400,15,10314,40.587118,-74.168259
Staten Island,377,325,10314,40.61698,-74.128968
Staten Island,6499,25,10312,40.527427,-74.180336
Staten Island,835,416,10304,40.605021,-74.095212
Staten Island,835,395,10304,40.605092,-74.095889
Staten Island,5286,53,10312,40.537501,-74.151398
Staten Island,3472,43,10305,40.582988,-74.0851
Staten Island,3472,43,10305,40.582988,-74.0851
Staten Island,3472,43,10305,40.582971,-74.085071
Staten Island,3472,43,10305,40.582971,-74.085071
Staten Island,3472,43,10305,40.582958,-74.085042
Staten Island,3472,43,10305,40.582958,-74.085042
Staten Island,3472,43,10305,40.582944,-74.085014
Staten Island,3472,43,10305,40.58293,-74.084985
Staten Island,3472,43,10305,40.58293,-74.084985
Staten Island,3472,43,10305,40.582914,-74.084956
Staten Island,3472,43,10305,40.582914,-74.084956
Staten Island,3472,43,10305,40.5829,-74.084927
Staten Island,3472,43,10305,40.5829,-74.084927
Staten Island,3472,43,10305,40.582886,-74.084898
Staten Island,3472,43,10305,40.582856,-74.084844
Staten Island,3472,43,10305,40.582843,-74.084815
Staten Island,3472,43,10305,40.582826,-74.084787
Staten Island,3472,43,10305,40.582812,-74.084758
Staten Island,3472,43,10305,40.582812,-74.084758
Staten Island,3472,43,10305,40.582741,-74.084617
Staten Island,3472,43,10305,40.582741,-74.084617
Staten Island,3472,43,10305,40.582728,-74.084592
Staten Island,3472,43,10305,40.582728,-74.084592
Staten Island,3472,43,10305,40.582717,-74.08457
Staten Island,3472,43,10305,40.582427,-74.085848
Staten Island,3472,43,10305,40.582408,-74.085808
Staten Island,3472,43,10305,40.582408,-74.085808
Staten Island,3472,43,10305,40.582408,-74.085808
Staten Island,3472,43,10305,40.582389,-74.085772
Staten Island,3472,43,10305,40.582389,-74.085772
Staten Island,3472,68,10305,40.58237,-74.085733
Staten Island,3472,43,10305,40.582351,-74.085697
Staten Island,3472,43,10305,40.582331,-74.085661
Staten Island,3472,43,10305,40.582312,-74.085621
Staten Island,3472,43,10305,40.582293,-74.085585
